what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411094975580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411094976704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411094985745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411094986440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411094987113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411094988406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411094989327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094990959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094995466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094997990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094998634
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095005510
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411095006921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095009935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095016739
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095016869
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095016927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095018135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095058067
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411095061650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095063772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095078507
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095078586
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095078651
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411095092546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095093436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095093617
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411095094810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411095096796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095107656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095108948
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411095108949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095109707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095209542
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411095222827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095225060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095225259
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411095227689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411095230103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095262339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095268703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095268990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095269662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411095269742
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411095270917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411095274935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411095282841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411095292194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095295475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095300138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095317372
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411095319428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095321822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095322021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095323144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095331769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095344696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095348024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411095356966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095360641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1411095360859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095362596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411095363287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095364522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095366288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095367089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095367551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411095367613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095375618
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411095375801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095377539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411095378864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095380117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411095388303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411095404744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095410674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095412256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095412756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095424368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411095425627
